TransMorph_ssim_1_diffusion_1
,SSIM,det
p0,0.6202239990234375,0.0
p1,0.621938943862915,0.0
p2,0.579403817653656,0.0
p3,0.5805667042732239,0.0
p4,0.6014443635940552,0.0
p5,0.6016544699668884,0.0
p6,0.5794389843940735,0.0
p7,0.5766838788986206,0.0
p8,0.5798794031143188,0.0
p9,0.5774866938591003,0.0
p10,0.5990952849388123,0.0
p11,0.5976381301879883,0.0
p12,0.6846505403518677,0.0
p13,0.6845917701721191,0.0
p14,0.5948104858398438,0.0
p15,0.5939654111862183,0.0
p16,0.6137999296188354,0.0
p17,0.6153741478919983,0.0
p18,0.6122825741767883,0.0
p19,0.6099440455436707,0.0
p20,0.6184203624725342,0.0
p21,0.6172363758087158,0.0
p22,0.6004124879837036,0.0
p23,0.6000848412513733,0.0
p24,0.6291196346282959,0.0
p25,0.6263378262519836,0.0
p26,0.5778568387031555,0.0
p27,0.5789112448692322,0.0
p28,0.6320314407348633,0.0
p29,0.6344924569129944,0.0
p30,0.5593150854110718,0.0
p31,0.5583364367485046,0.0
p32,0.6444910764694214,0.0
p33,0.6444442272186279,0.0
p34,0.6252134442329407,0.0
p35,0.6268216967582703,0.0
p36,0.601344883441925,0.0
p37,0.6023838520050049,0.0
p38,0.5607918500900269,0.0
p39,0.5611699223518372,0.0
p40,0.6187831163406372,0.0
p41,0.620063304901123,0.0
p42,0.6180382370948792,0.0
p43,0.6181666254997253,0.0
p44,0.6133350729942322,0.0
p45,0.6119071841239929,0.0
p46,0.5678914785385132,0.0
p47,0.5686296820640564,0.0
p48,0.6228623390197754,0.0
p49,0.6209681034088135,0.0
p50,0.6075435876846313,0.0
p51,0.6084904074668884,0.0
p52,0.614886462688446,0.0
p53,0.6120142340660095,0.0
p54,0.5961265563964844,0.0
p55,0.5956510901451111,0.0
p56,0.5852853059768677,0.0
p57,0.5794474482536316,0.0
p58,0.6087067723274231,0.0
p59,0.6086432933807373,0.0
p60,0.6338176727294922,0.0
p61,0.6286612749099731,0.0
p62,0.6378693580627441,0.0
p63,0.6345617771148682,0.0
p64,0.628868579864502,0.0
p65,0.6286503076553345,0.0
p66,0.6152123808860779,0.0
p67,0.6144121289253235,0.0
p68,0.5834011435508728,0.0
p69,0.5829001069068909,0.0
p70,0.5664929747581482,0.0
p71,0.5671841502189636,0.0
p72,0.6090763807296753,0.0
p73,0.6102219820022583,0.0
p74,0.6181081533432007,0.0
p75,0.6178650856018066,0.0
p76,0.6222567558288574,0.0
p77,0.6211764812469482,0.0
p78,0.6496270895004272,0.0
p79,0.6499530673027039,0.0
p80,0.6031780242919922,0.0
p81,0.6007708311080933,0.0
p82,0.6330914497375488,0.0
p83,0.6334453821182251,0.0
p84,0.6587056517601013,0.0
p85,0.6605359315872192,0.0
p86,0.6227654218673706,0.0
p87,0.6202308535575867,0.0
