TransMorph_ssim_1_diffusion_1
,SSIM,det
p0,0.9150220155715942,0.00567626953125
p1,0.9173389673233032,0.0074462890625
p2,0.9048295617103577,0.0092010498046875
p3,0.9092273712158203,0.005157470703125
p4,0.915158212184906,0.0131988525390625
p5,0.9103682041168213,0.0068511962890625
p6,0.894813597202301,0.0060882568359375
p7,0.8946869373321533,0.0080413818359375
p8,0.8792573809623718,0.0070953369140625
p9,0.8836900591850281,0.0146331787109375
p10,0.9131858348846436,0.0080108642578125
p11,0.9115310907363892,0.0126800537109375
p12,0.9247699975967407,0.006927490234375
p13,0.9287020564079285,0.00762939453125
p14,0.906631588935852,0.00628662109375
p15,0.9125036001205444,0.0082855224609375
p16,0.8968362808227539,0.0101776123046875
p17,0.8977201581001282,0.0064544677734375
p18,0.9027400612831116,0.0095672607421875
p19,0.9005839824676514,0.0068359375
p20,0.9098512530326843,0.0082550048828125
p21,0.9099218249320984,0.0049896240234375
p22,0.8892073035240173,0.0091400146484375
p23,0.8916237354278564,0.0114288330078125
p24,0.9180375337600708,0.0113525390625
p25,0.9149206876754761,0.005126953125
p26,0.8956445455551147,0.012054443359375
p27,0.8995823264122009,0.0062713623046875
p28,0.9142171144485474,0.0082244873046875
p29,0.9166855216026306,0.0059661865234375
p30,0.9054174423217773,0.012786865234375
p31,0.9084238409996033,0.0146636962890625
p32,0.9055314660072327,0.008087158203125
p33,0.9009760022163391,0.00750732421875
p34,0.9167687296867371,0.011871337890625
p35,0.9134244322776794,0.00714111328125
p36,0.899117648601532,0.008270263671875
p37,0.9071580767631531,0.0101318359375
p38,0.8895063400268555,0.00885009765625
p39,0.8947840929031372,0.012603759765625
p40,0.8961902260780334,0.008758544921875
p41,0.9025476574897766,0.0055389404296875
p42,0.8800053596496582,0.0092315673828125
p43,0.8787878155708313,0.0100250244140625
p44,0.9008404016494751,0.0055084228515625
p45,0.9050803780555725,0.0119171142578125
p46,0.8932698965072632,0.0112457275390625
p47,0.8901245594024658,0.0098114013671875
p48,0.9113107919692993,0.00946044921875
p49,0.914901614189148,0.005889892578125
p50,0.90959632396698,0.0076141357421875
p51,0.9106787443161011,0.0102081298828125
p52,0.9030877351760864,0.0079803466796875
p53,0.9054901003837585,0.0086212158203125
p54,0.910873293876648,0.00726318359375
p55,0.9147217869758606,0.0055694580078125
p56,0.887712836265564,0.010101318359375
p57,0.8952160477638245,0.014923095703125
p58,0.9057818651199341,0.008880615234375
p59,0.9109262824058533,0.0070648193359375
p60,0.8976072072982788,0.0082244873046875
p61,0.8983039855957031,0.013458251953125
p62,0.9141976237297058,0.0099639892578125
p63,0.9121910333633423,0.0066070556640625
p64,0.8884751200675964,0.0052642822265625
p65,0.8939164280891418,0.01519775390625
p66,0.9069585800170898,0.0047607421875
p67,0.9082774519920349,0.0118865966796875
p68,0.8978409171104431,0.0070953369140625
p69,0.9042712450027466,0.0115966796875
p70,0.8887913823127747,0.0186004638671875
p71,0.8883146643638611,0.006988525390625
p72,0.9076540470123291,0.00927734375
p73,0.9070109724998474,0.008270263671875
p74,0.9043171405792236,0.0090179443359375
